Sorszám;Pénznem;Árfolyam;Ügyfél kód;Ügyfél Név;Irányítószám;Város;Utca;Adószám;Fizetési mód;Kelt;Teljesítés;Esedékesség;Terméknév;Mennyiség;Mennyiségi egység;Egységár;Megjegyzés;Áfa kulcs;Munkaszám;Részlegszám;Számla megjegyzés;TERMEKKOD;Bizonylatszám;Elszámoló időszak  záró dátuma;Áfa árfolyam;Termék megjelenített név;Kedvezmény;Ország;Közterület;Ajtó;Épület;Emelet;Lépcsőház;Házszám;Magánszemély;Magyar illetőség;Adóalanynak nem minősülő gazdasági szervezet;Köz. kívüli adósz.;EU adószám 
1;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.01;2026.07.01;;LENGŐKAR, KERÉKFELFÜGGESZTÉS;1;db;33860;;27%;;;;MGZ-118015;MPX/2026/07/001;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
1;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.01;2026.07.01;;LENGŐKAR, KERÉKFELFÜGGESZTÉS;2;db;7870;;27%;;;;MGZ-116014;MPX/2026/07/001;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
1;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.01;2026.07.01;;LENGÉSCSILLAPÍTÓ;2;db;4700;;27%;;;;MGA-6338;MPX/2026/07/001;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
2;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.02;2026.07.02;;FOGASSZÍJ;1;db;3510;;27%;;;;GAT5661XS;MPX/2026/07/002;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
2;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.02;2026.07.02;;FÉKCSŐ;3;db;12240;;27%;;;;52-0076;MPX/2026/07/002;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
2;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.02;2026.07.02;;SZERELŐKÉSZLET, VEZETŐKAR;2;db;21470;;27%;;;;KIT02;MPX/2026/07/002;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
2;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.02;2026.07.02;;HŰTŐ, MOTORHŰTÉS;3;db;34300;;27%;;;;AC230086;MPX/2026/07/002;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
3;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.03;2026.07.03;;JAVÍTÓKÉSZLET, ÖNINDÍTÓ;1;db;18100;;27%;;;;SP6003;MPX/2026/07/003;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
3;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.03;2026.07.03;;FÉKERŐSZABÁLYOZÓ;1;db;32900;;27%;;;;0204031174;MPX/2026/07/003;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
3;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.03;2026.07.03;;PASEK WIELOKLINOWY 5PK1545;1;db;15310;;27%;;;;5PK1545DAY;MPX/2026/07/003;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
3;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.03;2026.07.03;;FÉKNYEREG;1;db;4740;;27%;;;;82-0888;MPX/2026/07/003;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
